,SEQ_NAME,START,END,STRAND,FEATURE_NAME,GENE_NAME,ALIASES,DESCRIPTION,TXN_START,TXN_END,CDS_START,CDS_END,EXON_COUNT,EXON_STARTS,EXON_ENDS,ISOFORM_NAME,IS_PRIMARY,Adjusted_End,UTR_START,UTR_END
94,NC_000964.3,81771,82697,+,BSU00730,cysK,gene,,81771,82697,81771,82697,1,81771,82697,Y,,82697,82698,82697
95,NC_000964.3,82864,84276,+,BSU00740,pabB,gene,,82864,84276,82864,84276,1,82864,84276,Y,,90226,90227,90273
96,NC_000964.3,84290,84874,+,BSU00750,pabA,gene,,84290,84874,84290,84874,1,84290,84874,Y,,90226,90227,90273
97,NC_000964.3,84874,85755,+,BSU00760,pabC,gene,,84874,85755,84874,85755,1,84874,85755,Y,,90226,90227,90273
98,NC_000964.3,85737,86594,+,BSU00770,sul,gene,,85737,86594,85737,86594,1,85737,86594,Y,,90226,90227,90273
99,NC_000964.3,86587,86949,+,BSU00780,folB,gene,,86587,86949,86587,86949,1,86587,86949,Y,,90226,90227,90273
100,NC_000964.3,86946,87449,+,BSU00790,folK,gene,,86946,87449,86946,87449,1,86946,87449,Y,,90226,90227,90273
101,NC_000964.3,87401,87610,+,BSU00800,yazB,gene,,87401,87610,87401,87610,1,87401,87610,Y,,90226,90227,90273
102,NC_000964.3,87634,88635,+,BSU00810,dusB,gene,,87634,88635,87634,88635,1,87634,88635,Y,,90226,90227,90273
104,NC_000964.3,88727,90226,+,BSU00820,lysS,gene,,88727,90226,88727,90226,1,88727,90226,Y,,90226,90227,90273
105,NC_000964.3,90536,92089,+,BSU_RRNA_6,rrnJ-16S,rRNA,,90536,92089,90536,92089,1,90536,92089,Y,,92089,92090,92155
106,NC_000964.3,92254,95181,+,BSU_RRNA_7,rrnJ-23S,rRNA,,92254,95181,92254,95181,1,92254,95181,Y,,96221,96222,96221
107,NC_000964.3,95237,95354,+,BSU_RRNA_8,rrnJ-5S,rRNA,,95237,95354,95237,95354,1,95237,95354,Y,,96221,96222,96221
108,NC_000964.3,95375,95450,+,BSU_TRNA_12,trnJ-Val,tRNA,,95375,95450,95375,95450,1,95375,95450,Y,,96221,96222,96221
109,NC_000964.3,95455,95530,+,BSU_TRNA_13,trnJ-Thr,tRNA,,95455,95530,95455,95530,1,95455,95530,Y,,96221,96222,96221
110,NC_000964.3,95567,95642,+,BSU_TRNA_14,trnJ-Lys,tRNA,,95567,95642,95567,95642,1,95567,95642,Y,,96221,96222,96221
111,NC_000964.3,95649,95731,+,BSU_TRNA_15,trnJ-Leu1,tRNA,,95649,95731,95649,95731,1,95649,95731,Y,,96221,96222,96221
112,NC_000964.3,95772,95846,+,BSU_TRNA_16,trnJ-Gly,tRNA,,95772,95846,95772,95846,1,95772,95846,Y,,96221,96222,96221
113,NC_000964.3,95861,95946,+,BSU_TRNA_17,trnJ-Leu2,tRNA,,95861,95946,95861,95946,1,95861,95946,Y,,96221,96222,96221
114,NC_000964.3,95956,96032,+,BSU_TRNA_18,trnJ-Arg,tRNA,,95956,96032,95956,96032,1,95956,96032,Y,,96221,96222,96221
115,NC_000964.3,96060,96136,+,BSU_TRNA_19,trnJ-Pro,tRNA,,96060,96136,96060,96136,1,96060,96136,Y,,96221,96222,96221
116,NC_000964.3,96146,96221,+,BSU_TRNA_20,trnJ-Ala,tRNA,,96146,96221,96146,96221,1,96146,96221,Y,,96221,96222,96221
117,NC_000964.3,96392,97945,+,BSU_RRNA_9,rrnW-16S,rRNA,,96392,97945,96392,97945,1,96392,97945,Y,,97945,97946,98011
118,NC_000964.3,98110,101037,+,BSU_RRNA_10,rrnW-23S,rRNA,,98110,101037,98110,101037,1,98110,101037,Y,,101211,101212,101211
119,NC_000964.3,101093,101211,+,BSU_RRNA_11,rrnW-5S,rRNA,,101093,101211,101093,101211,1,101093,101211,Y,,101211,101212,101211
120,NC_000964.3,101449,101913,+,BSU00830,ctsR,gene,,101449,101913,101449,101913,1,101449,101913,Y,,108558,108559,108558
121,NC_000964.3,101927,102484,+,BSU00840,mcsA,gene,,101927,102484,101927,102484,1,101927,102484,Y,,108558,108559,108558
122,NC_000964.3,102484,103575,+,BSU00850,mcsB,gene,,102484,103575,102484,103575,1,102484,103575,Y,,108558,108559,108558
123,NC_000964.3,103572,106004,+,BSU00860,clpC,gene,,103572,106004,103572,106004,1,103572,106004,Y,,108558,108559,108558
124,NC_000964.3,106096,107472,+,BSU00870,radA,gene,,106096,107472,106096,107472,1,106096,107472,Y,,108558,108559,108558
125,NC_000964.3,107476,108558,+,BSU00880,yacK,gene,,107476,108558,107476,108558,1,107476,108558,Y,,108558,108559,108558
126,NC_000964.3,108674,109774,+,BSU00890,yacL,gene,,108674,109774,108674,109774,1,108674,109774,Y,,112498,112499,112758
127,NC_000964.3,109789,110487,+,BSU00900,ispD,gene,,109789,110487,109789,110487,1,109789,110487,Y,,112498,112499,112758
128,NC_000964.3,110480,110956,+,BSU00910,ispF,gene,,110480,110956,110480,110956,1,110480,110956,Y,,112498,112499,112758
129,NC_000964.3,111047,112498,+,BSU00920,gltX,gene,,111047,112498,111047,112498,1,111047,112498,Y,,112498,112499,112758
130,NC_000964.3,112800,113453,+,BSU00930,cysE,gene,,112800,113453,112800,113453,1,112800,113453,Y,,117711,117712,117779
131,NC_000964.3,113450,114850,+,BSU00940,cysS,gene,,113450,114850,113450,114850,1,113450,114850,Y,,117711,117712,117779
132,NC_000964.3,114854,115285,+,BSU00950,mrnC,gene,,114854,115285,114854,115285,1,114854,115285,Y,,117711,117712,117779
133,NC_000964.3,115269,116018,+,BSU00960,rlmB,gene,,115269,116018,115269,116018,1,115269,116018,Y,,117711,117712,117779
134,NC_000964.3,116025,116537,+,BSU00970,yacP,gene,,116025,116537,116025,116537,1,116025,116537,Y,,117711,117712,117779
135,NC_000964.3,116600,117256,+,BSU00980,sigH,gene,,116600,117256,116600,117256,1,116600,117256,Y,,117711,117712,117779
136,NC_000964.3,117349,117498,+,BSU00990,rpmGB,gene,,117349,117498,117349,117498,1,117349,117498,Y,,117711,117712,117779
137,NC_000964.3,117532,117711,+,BSU01000,secE,gene,,117532,117711,117532,117711,1,117532,117711,Y,,117711,117712,117779
138,NC_000964.3,117890,118423,+,BSU01010,nusG,gene,,117890,118423,117890,118423,1,117890,118423,Y,,118423,118424,118423
139,NC_000964.3,118591,119016,+,BSU01020,rplK,gene,,118591,119016,118591,119016,1,118591,119016,Y,,119809,119810,119985
140,NC_000964.3,119111,119809,+,BSU01030,rplA,gene,,119111,119809,119111,119809,1,119111,119809,Y,,119809,119810,119985
141,NC_000964.3,120061,120561,+,BSU01040,rplJ,gene,,120061,120561,120061,120561,1,120061,120561,Y,,121673,121674,121673
142,NC_000964.3,120607,120978,+,BSU01050,rplL,gene,,120607,120978,120607,120978,1,120607,120978,Y,,121673,121674,121673
143,NC_000964.3,121068,121673,+,BSU01060,ybxB,gene,,121068,121673,121068,121673,1,121068,121673,Y,,121673,121674,121673
144,NC_000964.3,121919,125500,+,BSU01070,rpoB,gene,,121919,125500,121919,125500,1,121919,125500,Y,,129161,129162,129212
145,NC_000964.3,125562,129161,+,BSU01080,rpoC,gene,,125562,129161,125562,129161,1,125562,129161,Y,,129161,129162,129212
146,NC_000964.3,129340,129588,+,BSU01090,ybxF,gene,,129340,129588,129340,129588,1,129340,129588,Y,,129588,129589,129588
147,NC_000964.3,129702,130118,+,BSU01100,rpsL,gene,,129702,130118,129702,130118,1,129702,130118,Y,,132762,132763,132762
148,NC_000964.3,130160,130630,+,BSU01110,rpsG,gene,,130160,130630,130160,130630,1,130160,130630,Y,,132762,132763,132762
149,NC_000964.3,130684,132762,+,BSU01120,fusA,gene,,130684,132762,130684,132762,1,130684,132762,Y,,132762,132763,132762
150,NC_000964.3,132882,134072,+,BSU01130,tufA,gene,,132882,134072,132882,134072,1,132882,134072,Y,,135127,135128,135127
151,NC_000964.3,134171,135127,+,BSU01140,ybaC,gene,,134171,135127,134171,135127,1,134171,135127,Y,,135127,135128,135127
152,NC_000964.3,135364,135672,+,BSU01150,rpsJ,gene,,135364,135672,135364,135672,1,135364,135672,Y,,148754,148755,148754
153,NC_000964.3,135712,136341,+,BSU01160,rplC,gene,,135712,136341,135712,136341,1,135712,136341,Y,,148754,148755,148754
154,NC_000964.3,136369,136992,+,BSU01170,rplD,gene,,136369,136992,136369,136992,1,136369,136992,Y,,148754,148755,148754
155,NC_000964.3,136992,137279,+,BSU01180,rplW,gene,,136992,137279,136992,137279,1,136992,137279,Y,,148754,148755,148754
156,NC_000964.3,137311,138144,+,BSU01190,rplB,gene,,137311,138144,137311,138144,1,137311,138144,Y,,148754,148755,148754
157,NC_000964.3,138202,138480,+,BSU01200,rpsS,gene,,138202,138480,138202,138480,1,138202,138480,Y,,148754,148755,148754
158,NC_000964.3,138497,138838,+,BSU01210,rplV,gene,,138497,138838,138497,138838,1,138497,138838,Y,,148754,148755,148754
159,NC_000964.3,138842,139498,+,BSU01220,rpsC,gene,,138842,139498,138842,139498,1,138842,139498,Y,,148754,148755,148754
160,NC_000964.3,139500,139934,+,BSU01230,rplP,gene,,139500,139934,139500,139934,1,139500,139934,Y,,148754,148755,148754
161,NC_000964.3,139924,140124,+,BSU01240,rpmC,gene,,139924,140124,139924,140124,1,139924,140124,Y,,148754,148755,148754
162,NC_000964.3,140147,140410,+,BSU01250,rpsQ,gene,,140147,140410,140147,140410,1,140147,140410,Y,,148754,148755,148754
163,NC_000964.3,140451,140819,+,BSU01260,rplN,gene,,140451,140819,140451,140819,1,140451,140819,Y,,148754,148755,148754
164,NC_000964.3,140857,141168,+,BSU01270,rplX,gene,,140857,141168,140857,141168,1,140857,141168,Y,,148754,148755,148754
165,NC_000964.3,141195,141734,+,BSU01280,rplE,gene,,141195,141734,141195,141734,1,141195,141734,Y,,148754,148755,148754
166,NC_000964.3,141757,141942,+,BSU01290,rpsN,gene,,141757,141942,141757,141942,1,141757,141942,Y,,148754,148755,148754
167,NC_000964.3,141974,142372,+,BSU01300,rpsH,gene,,141974,142372,141974,142372,1,141974,142372,Y,,148754,148755,148754
168,NC_000964.3,142402,142941,+,BSU01310,rplF,gene,,142402,142941,142402,142941,1,142402,142941,Y,,148754,148755,148754
169,NC_000964.3,142974,143336,+,BSU01320,rplR,gene,,142974,143336,142974,143336,1,142974,143336,Y,,148754,148755,148754
170,NC_000964.3,143361,143861,+,BSU01330,rpsE,gene,,143361,143861,143361,143861,1,143361,143861,Y,,148754,148755,148754
171,NC_000964.3,143875,144054,+,BSU01340,rpmD,gene,,143875,144054,143875,144054,1,143875,144054,Y,,148754,148755,148754
172,NC_000964.3,144085,144525,+,BSU01350,rplO,gene,,144085,144525,144085,144525,1,144085,144525,Y,,148754,148755,148754
173,NC_000964.3,144527,145822,+,BSU01360,secY,gene,,144527,145822,144527,145822,1,144527,145822,Y,,148754,148755,148754
174,NC_000964.3,145877,146530,+,BSU01370,adk,gene,,145877,146530,145877,146530,1,145877,146530,Y,,148754,148755,148754
175,NC_000964.3,146527,147273,+,BSU01380,mapA,gene,,146527,147273,146527,147273,1,146527,147273,Y,,148754,148755,148754
176,NC_000964.3,147312,147536,+,BSU01389,ybzG,gene,,147312,147536,147312,147536,1,147312,147536,Y,,148754,148755,148754
177,NC_000964.3,147585,147803,+,BSU01390,infA,gene,,147585,147803,147585,147803,1,147585,147803,Y,,148754,148755,148754
178,NC_000964.3,147837,147950,+,BSU01400,rpmJ,gene,,147837,147950,147837,147950,1,147837,147950,Y,,148754,148755,148754
179,NC_000964.3,147973,148338,+,BSU01410,rpsM,gene,,147973,148338,147973,148338,1,147973,148338,Y,,148754,148755,148754
180,NC_000964.3,148359,148754,+,BSU01420,rpsK,gene,,148359,148754,148359,148754,1,148359,148754,Y,,148754,148755,148754
181,NC_000964.3,148931,149875,+,BSU01430,rpoA,gene,,148931,149875,148931,149875,1,148931,149875,Y,,150315,150316,150380
182,NC_000964.3,149953,150315,+,BSU01440,rplQ,gene,,149953,150315,149953,150315,1,149953,150315,Y,,150315,150316,150380
183,NC_000964.3,150443,151288,+,BSU01450,ybxA,gene,,150443,151288,150443,151288,1,150443,151288,Y,,153680,153681,153680
184,NC_000964.3,151303,152133,+,BSU01460,ybaE,gene,,151303,152133,151303,152133,1,151303,152133,Y,,153680,153681,153680
185,NC_000964.3,152130,152927,+,BSU01470,ybaF,gene,,152130,152927,152130,152927,1,152130,152927,Y,,153680,153681,153680
186,NC_000964.3,152937,153680,+,BSU01480,truA,gene,,152937,153680,152937,153680,1,152937,153680,Y,,153680,153681,153680
188,NC_000964.3,153842,154279,+,BSU01490,rplM,gene,,153842,154279,153842,154279,1,153842,154279,Y,,154692,154693,154740
189,NC_000964.3,154300,154692,+,BSU01500,rpsI,gene,,154300,154692,154300,154692,1,154300,154692,Y,,154692,154693,154740
190,NC_000964.3,155156,155923,+,BSU01510,ybaJ,gene,,155156,155923,155156,155923,1,155156,155923,Y,,155923,155924,155923
191,NC_000964.3,156109,156552,+,BSU01520,ybaK,gene,,156109,156552,156109,156552,1,156109,156552,Y,,158479,158480,158520
192,NC_000964.3,156612,157325,+,BSU01530,cwlD,gene,,156612,157325,156612,157325,1,156612,157325,Y,,158479,158480,158520
193,NC_000964.3,157421,158479,+,BSU01540,salA,gene,,157421,158479,157421,158479,1,157421,158479,Y,,158479,158480,158520
195,NC_000964.3,159182,159778,+,BSU01560,kbaA,gene,,159182,159778,159182,159778,1,159182,159778,Y,,159778,159779,159778
197,NC_000964.3,160893,162445,+,BSU_RRNA_23,rrnI-16S,rRNA,,160893,162445,160893,162445,1,160893,162445,Y,,162445,162446,162511
198,NC_000964.3,162610,165535,+,BSU_RRNA_14,rrnI-23S,rRNA,,162610,165535,162610,165535,1,162610,165535,Y,,166328,166329,166328
199,NC_000964.3,165591,165707,+,BSU_RRNA_15,rrnI-5S,rRNA,,165591,165707,165591,165707,1,165591,165707,Y,,166328,166329,166328
200,NC_000964.3,165754,165825,+,BSU_TRNA_23,trnI-Asn,tRNA,,165754,165825,165754,165825,1,165754,165825,Y,,166328,166329,166328
201,NC_000964.3,165830,165902,+,BSU_TRNA_24,trnI-Thr,tRNA,,165830,165902,165830,165902,1,165830,165902,Y,,166328,166329,166328
202,NC_000964.3,165959,166033,+,BSU_TRNA_25,trnI-Gly,tRNA,,165959,166033,165959,166033,1,165959,166033,Y,,166328,166329,166328
203,NC_000964.3,166064,166140,+,BSU_TRNA_26,trnI-Arg,tRNA,,166064,166140,166064,166140,1,166064,166140,Y,,166328,166329,166328
204,NC_000964.3,166168,166244,+,BSU_TRNA_27,trnI-Pro,tRNA,,166168,166244,166168,166244,1,166168,166244,Y,,166328,166329,166328
205,NC_000964.3,166253,166328,+,BSU_TRNA_28,trnI-Ala,tRNA,,166253,166328,166253,166328,1,166253,166328,Y,,166328,166329,166328
206,NC_000964.3,166500,168053,+,BSU_RRNA_16,rrnH-16S,rRNA,,166500,168053,166500,168053,1,166500,168053,Y,,168053,168054,168119
207,NC_000964.3,168218,171141,+,BSU_RRNA_29,rrnH-23S,rRNA,,168218,171141,168218,171141,1,168218,171141,Y,,171314,171315,171314
208,NC_000964.3,171197,171314,+,BSU_RRNA_24,rrnH-5S,rRNA,,171197,171314,171197,171314,1,171197,171314,Y,,171314,171315,171314
209,NC_000964.3,171498,173049,+,BSU_RRNA_25,rrnG-16S,rRNA,,171498,173049,171498,173049,1,171498,173049,Y,,173049,173050,173115
210,NC_000964.3,173214,176141,+,BSU_RRNA_27,rrnG-23S,rRNA,,173214,176141,173214,176141,1,173214,176141,Y,,176315,176316,176315
211,NC_000964.3,176197,176315,+,BSU_RRNA_28,rrnG-5S,rRNA,,176197,176315,176197,176315,1,176197,176315,Y,,176315,176316,176315
212,NC_000964.3,177083,178519,+,BSU01580,ybaR,gene,,177083,178519,177083,178519,1,177083,178519,Y,,178519,178520,178519
213,NC_000964.3,178665,179585,+,BSU01590,ybaS,gene,,178665,179585,178665,179585,1,178665,179585,Y,,179585,179586,179585
227,NC_000964.3,194205,194279,+,BSU_TRNA_75,trnSL-Glu2,tRNA,,194205,194279,194205,194279,1,194205,194279,Y,,194621,194622,194653
228,NC_000964.3,194283,194358,+,BSU_TRNA_78,trnSL-Val1,tRNA,,194283,194358,194283,194358,1,194283,194358,Y,,194621,194622,194653
229,NC_000964.3,194363,194435,+,BSU_TRNA_76,trnSL-Thr1,tRNA,,194363,194435,194363,194435,1,194363,194435,Y,,194621,194622,194653
230,NC_000964.3,194458,194542,+,BSU_TRNA_77,trnSL-Tyr1,tRNA,,194458,194542,194458,194542,1,194458,194542,Y,,194621,194622,194653
