,SEQ_NAME,START,END,STRAND,FEATURE_NAME,GENE_NAME,ALIASES,DESCRIPTION,TXN_START,TXN_END,CDS_START,CDS_END,EXON_COUNT,EXON_STARTS,EXON_ENDS,ISOFORM_NAME,IS_PRIMARY,Adjusted_Start,UTR_START,UTR_END
334,NC_000964.3,295584,296285,-,BSU02740,natR,gene,,295584,296285,295584,296285,1,295584,296285,Y,,294615,294614,294615
338,NC_000964.3,299438,300502,-,BSU02780,ycdA,gene,,299438,300502,299438,300502,1,299438,300502,Y,,299438,299437,299438
341,NC_000964.3,303804,304307,-,BSU02810,cwlK,gene,,303804,304307,303804,304307,1,303804,304307,Y,,303804,303803,303804
348,NC_000964.3,310880,311875,-,BSU02880,yceB,gene,,310880,311875,310880,311875,1,310880,311875,Y,,310880,310879,310880
356,NC_000964.3,319180,320352,-,BSU02960,yceJ,gene,,319180,320352,319180,320352,1,319180,320352,Y,,319180,319179,319180
357,NC_000964.3,320421,320723,-,BSU02970,yceK,gene,,320421,320723,320421,320723,1,320421,320723,Y,,319180,319179,319180
361,NC_000964.3,324038,325189,-,BSU03010,amhX,gene,,324038,325189,324038,325189,1,324038,325189,Y,,324038,324037,324038
367,NC_000964.3,332441,333979,-,BSU03070,mdr,gene,,332441,333979,332441,333979,1,332441,333979,Y,,332441,332440,332398
371,NC_000964.3,336092,337432,-,BSU03110,ycgH,gene,,336092,337432,336092,337432,1,336092,337432,Y,,336092,336091,336092
374,NC_000964.3,339156,339749,-,BSU03140,tmrB,gene,,339156,339749,339156,339749,1,339156,339749,Y,,339156,339155,339156
375,NC_000964.3,339807,339955,-,BSU_none_60,S111,ncRNA,,339807,339955,339807,339955,1,339807,339955,Y,,339156,339155,339156
377,NC_000964.3,340613,341374,-,BSU03160,ycgJ,gene,,340613,341374,340613,341374,1,340613,341374,Y,,340613,340612,340613
384,NC_000964.3,347670,349525,-,BSU_none_61,S117,ncRNA,,347670,349525,347670,349525,1,347670,349525,Y,,347670,347669,347670
386,NC_000964.3,349996,350853,-,BSU03240,ycgQ,gene,,349996,350853,349996,350853,1,349996,350853,Y,,349996,349995,349996
387,NC_000964.3,350858,351742,-,BSU03250,ycgR,gene,,350858,351742,350858,351742,1,350858,351742,Y,,349996,349995,349996
388,NC_000964.3,351842,352696,-,BSU03260,ycgS,gene,,351842,352696,351842,352696,1,351842,352696,Y,,351842,351841,351842
390,NC_000964.3,353900,355351,-,BSU03280,nasF,gene,,353900,355351,353900,355351,1,353900,355351,Y,,353900,353899,353900
391,NC_000964.3,355412,355732,-,BSU03290,nasE,gene,,355412,355732,355412,355732,1,355412,355732,Y,,353900,353899,353900
392,NC_000964.3,355764,358181,-,BSU03300,nasD,gene,,355764,358181,355764,358181,1,355764,358181,Y,,353900,353899,353900
393,NC_000964.3,358303,360435,-,BSU03310,nasC,gene,,358303,360435,358303,360435,1,358303,360435,Y,,358303,358302,358303
394,NC_000964.3,360442,362757,-,BSU03320,nasB,gene,,360442,362757,360442,362757,1,360442,362757,Y,,358303,358302,358303
400,NC_000964.3,367305,367985,-,BSU03370,yckA,gene,,367305,367985,367305,367985,1,367305,367985,Y,,367305,367304,367255
401,NC_000964.3,367995,368858,-,BSU03380,yckB,gene,,367995,368858,367995,368858,1,367995,368858,Y,,367305,367304,367255
406,NC_000964.3,371729,372127,-,BSU03420,nin,gene,,371729,372127,371729,372127,1,371729,372127,Y,,371729,371728,371729
407,NC_000964.3,372154,372597,-,BSU03430,nucA,gene,,372154,372597,372154,372597,1,372154,372597,Y,,371729,371728,371729
408,NC_000964.3,372771,374492,-,BSU03440,tlpC,gene,,372771,374492,372771,374492,1,372771,374492,Y,,372771,372770,372771
409,NC_000964.3,374603,375160,-,BSU03450,hxlB,gene,,374603,375160,374603,375160,1,374603,375160,Y,,374603,374602,374603
410,NC_000964.3,375166,375798,-,BSU03460,hxlA,gene,,375166,375798,375166,375798,1,375166,375798,Y,,374603,374602,374603
418,NC_000964.3,404458,405015,-,BSU03540,ycxB,gene,,404458,405015,404458,405015,1,404458,405015,Y,,404458,404457,404458
419,NC_000964.3,405069,406007,-,BSU03550,ycxC,gene,,405069,406007,405069,406007,1,405069,406007,Y,,404458,404457,404458
421,NC_000964.3,408240,408887,-,BSU03580,yczE,gene,,408240,408887,408240,408887,1,408240,408887,Y,,408240,408239,408240
422,NC_000964.3,409208,409951,-,BSU03590,tcyC,gene,,409208,409951,409208,409951,1,409208,409951,Y,,409208,409207,409130
423,NC_000964.3,409965,410669,-,BSU03600,tcyB,gene,,409965,410669,409965,410669,1,409965,410669,Y,,409208,409207,409130
424,NC_000964.3,410656,411462,-,BSU03610,tcyA,gene,,410656,411462,410656,411462,1,410656,411462,Y,,409208,409207,409130
425,NC_000964.3,411578,412450,-,BSU03620,yclA,gene,,411578,412450,411578,412450,1,411578,412450,Y,,411578,411577,411578
431,NC_000964.3,416235,417713,-,BSU03670,dtpT,gene,,416235,417713,416235,417713,1,416235,417713,Y,,416235,416234,416194
433,NC_000964.3,419763,419984,-,BSU03690,yczF,gene,,419763,419984,419763,419984,1,419763,419984,Y,,419763,419762,419763
437,NC_000964.3,424208,424888,-,BSU03730,yclH,gene,,424208,424888,424208,424888,1,424208,424888,Y,,424208,424207,424208
438,NC_000964.3,424904,426364,-,BSU03740,yclI,gene,,424904,426364,424904,426364,1,424904,426364,Y,,424208,424207,424208
443,NC_000964.3,430356,430469,-,BSU03789,yczN,gene,,430356,430469,430356,430469,1,430356,430469,Y,,430356,430355,430356
444,NC_000964.3,430623,431987,-,BSU03790,yclM,gene,,430623,431987,430623,431987,1,430623,431987,Y,,430623,430622,430623
449,NC_000964.3,436036,437454,-,BSU03840,ycnB,gene,,436036,437454,436036,437454,1,436036,437454,Y,,436036,436035,436036
450,NC_000964.3,437474,438352,-,BSU03850,ycnC,gene,,437474,438352,437474,438352,1,437474,438352,Y,,436036,436035,436036
451,NC_000964.3,438516,439265,-,BSU03860,ycnD,gene,,438516,439265,438516,439265,1,438516,439265,Y,,438516,438515,438516
452,NC_000964.3,439282,439569,-,BSU03870,ycnE,gene,,439282,439569,439282,439569,1,439282,439569,Y,,438516,438515,438516
454,NC_000964.3,440025,441464,-,BSU03890,gabR,gene,,440025,441464,440025,441464,1,440025,441464,Y,,440025,440024,440025
459,NC_000964.3,446174,446788,-,BSU03940,ycnI,gene,,446174,446788,446174,446788,1,446174,446788,Y,,446174,446173,446174
460,NC_000964.3,446801,448426,-,BSU03950,ycnJ,gene,,446801,448426,446801,448426,1,446801,448426,Y,,446174,446173,446174
461,NC_000964.3,448461,449033,-,BSU03960,ycnK,gene,,448461,449033,448461,449033,1,448461,449033,Y,,446174,446173,446174
468,NC_000964.3,454652,455260,-,BSU04020,yczH,gene,,454652,455260,454652,455260,1,454652,455260,Y,,454652,454651,454652
470,NC_000964.3,455771,455935,-,BSU04039,yczO,gene,,455771,455935,455771,455935,1,455771,455935,Y,,455771,455770,455771
480,NC_000964.3,463496,463783,-,BSU04130,yczJ,gene,,463496,463783,463496,463783,1,463496,463783,Y,,463496,463495,463496
485,NC_000964.3,470957,471502,-,BSU04180,ydaC,gene,,470957,471502,470957,471502,1,470957,471502,Y,,470957,470956,470957
492,NC_000964.3,475584,475874,-,BSU04240,ydzA,gene,,475584,475874,475584,475874,1,475584,475874,Y,,475584,475583,475584
503,NC_000964.3,490527,490638,-,BSU_none_63,S144,ncRNA,,490527,490638,490527,490638,1,490527,490638,Y,,490527,490526,490527
505,NC_000964.3,490777,491043,-,BSU04359,ydzK,gene,,490777,491043,490777,491043,1,490777,491043,Y,,490777,490776,490681
506,NC_000964.3,491147,492424,-,BSU04360,mntH,gene,,491147,492424,491147,492424,1,491147,492424,Y,,491147,491146,491147
507,NC_000964.3,492654,492911,-,BSU04370,ydaS,gene,,492654,492911,492654,492911,1,492654,492911,Y,,492654,492653,492654
508,NC_000964.3,492989,493441,-,BSU04380,ydaT,gene,,492989,493441,492989,493441,1,492989,493441,Y,,492654,492653,492654
513,NC_000964.3,495740,496561,-,BSU04430,ydbD,gene,,495740,496561,495740,496561,1,495740,496561,Y,,495740,495739,495740
514,NC_000964.3,496646,497698,-,BSU04440,dctB,gene,,496646,497698,496646,497698,1,496646,497698,Y,,495740,495739,495740
523,NC_000964.3,506322,506501,-,BSU04530,ydbN,gene,,506322,506501,506322,506501,1,506322,506501,Y,,506322,506321,506322
525,NC_000964.3,507753,508073,-,BSU04550,ydbP,gene,,507753,508073,507753,508073,1,507753,508073,Y,,507753,507752,507676
531,NC_000964.3,515016,515615,-,BSU04610,ydcA,gene,,515016,515615,515016,515615,1,515016,515615,Y,,515016,515015,515016
537,NC_000964.3,519083,519559,-,BSU_none_65,S163,ncRNA,,519083,519559,519083,519559,1,519083,519559,Y,,519083,519082,519083
548,NC_000964.3,525021,528076,-,BSU_none_66,S166,ncRNA,,525021,528076,525021,528076,1,525021,528076,Y,,525021,525020,525021
559,NC_000964.3,529505,530611,-,BSU04800,ydcL,gene,,529505,530611,529505,530611,1,529505,530611,Y,,529505,529504,529505
560,NC_000964.3,530624,531133,-,BSU04810,immA,gene,,530624,531133,530624,531133,1,530624,531133,Y,,529505,529504,529505
561,NC_000964.3,531130,531513,-,BSU04820,immR,gene,,531130,531513,531130,531513,1,531130,531513,Y,,529505,529504,529505
565,NC_000964.3,532412,532652,-,BSU_none_67,S170,ncRNA,,532412,532652,532412,532652,1,532412,532652,Y,,532412,532411,532412
581,NC_000964.3,546166,546966,-,BSU05000,yddK,gene,,546166,546966,546166,546966,1,546166,546966,Y,,546166,546165,546166
585,NC_000964.3,550240,551259,-,BSU05040,yddN,gene,,550240,551259,550240,551259,1,550240,551259,Y,,550240,550239,550240
587,NC_000964.3,552052,552501,-,BSU05060,lrpB,gene,,552052,552501,552052,552501,1,552052,552501,Y,,552052,552051,552052
596,NC_000964.3,560151,560612,-,BSU05130,ydeB,gene,,560151,560612,560151,560612,1,560151,560612,Y,,560151,560150,559534
598,NC_000964.3,561180,561416,-,BSU05140,ydzE,gene,,561180,561416,561180,561416,1,561180,561416,Y,,561180,561179,561180
599,NC_000964.3,561514,562389,-,BSU05150,ydeC,gene,,561514,562389,561514,562389,1,561514,562389,Y,,561180,561179,561180
601,NC_000964.3,563614,564486,-,BSU05170,ydeE,gene,,563614,564486,563614,564486,1,563614,564486,Y,,563614,563613,563614
606,NC_000964.3,569290,569949,-,BSU05220,ydeJ,gene,,569290,569949,569290,569949,1,569290,569949,Y,,569290,569289,569290
607,NC_000964.3,570371,571234,-,BSU05230,ydeK,gene,,570371,571234,570371,571234,1,570371,571234,Y,,570371,570370,570371
610,NC_000964.3,573452,574024,-,BSU05260,ydeN,gene,,573452,574024,573452,574024,1,573452,574024,Y,,573452,573451,573452
611,NC_000964.3,574106,574435,-,BSU05270,ydzF,gene,,574106,574435,574106,574435,1,574106,574435,Y,,573452,573451,573452
613,NC_000964.3,575712,576098,-,BSU05290,ydeP,gene,,575712,576098,575712,576098,1,575712,576098,Y,,575712,575711,575712
615,NC_000964.3,576946,578133,-,BSU05310,ydeR,gene,,576946,578133,576946,578133,1,576946,578133,Y,,576946,576945,576946
621,NC_000964.3,582536,583456,-,BSU05360,ydfC,gene,,582536,583456,582536,583456,1,582536,583456,Y,,582536,582535,582536
623,NC_000964.3,585155,585778,-,BSU05380,ydfE,gene,,585155,585778,585155,585778,1,585155,585778,Y,,585155,585154,585155
625,NC_000964.3,586628,587071,-,BSU05400,ydfG,gene,,586628,587071,586628,587071,1,586628,587071,Y,,586628,586627,586628
626,NC_000964.3,587157,587336,-,BSU05408,ydzP,gene,,587157,587336,587157,587336,1,587157,587336,Y,,586628,586627,586628
627,NC_000964.3,587333,587476,-,BSU05409,ydzQ,gene,,587333,587476,587333,587476,1,587333,587476,Y,,586628,586627,586628
631,NC_000964.3,592303,593205,-,BSU05440,nap,gene,,592303,593205,592303,593205,1,592303,593205,Y,,592303,592302,592303
632,NC_000964.3,593407,594096,-,BSU05450,ydfK,gene,,593407,594096,593407,594096,1,593407,594096,Y,,593407,593406,593407
633,NC_000964.3,594186,594998,-,BSU05460,ydfL,gene,,594186,594998,594186,594998,1,594186,594998,Y,,593407,593406,593407
634,NC_000964.3,595109,596002,-,BSU05470,ydfM,gene,,595109,596002,595109,596002,1,595109,596002,Y,,595109,595108,595109
639,NC_000964.3,599107,599343,-,BSU05520,ydzH,gene,,599107,599343,599107,599343,1,599107,599343,Y,,599107,599106,599107
640,NC_000964.3,599875,600105,-,BSU05529,ydzR,gene,,599875,600105,599875,600105,1,599875,600105,Y,,599875,599874,599875
641,NC_000964.3,600229,600906,-,BSU05530,ydfR,gene,,600229,600906,600229,600906,1,600229,600906,Y,,600229,600228,600229
643,NC_000964.3,601741,602172,-,BSU05550,cotP,gene,,601741,602172,601741,602172,1,601741,602172,Y,,601741,601740,601741
644,NC_000964.3,602185,602427,-,BSU05560,ydgA,gene,,602185,602427,602185,602427,1,602185,602427,Y,,601741,601740,601741
645,NC_000964.3,602441,602713,-,BSU05570,ydgB,gene,,602441,602713,602441,602713,1,602441,602713,Y,,601741,601740,601741
649,NC_000964.3,604736,606379,-,BSU05610,vmlR,gene,,604736,606379,604736,606379,1,604736,606379,Y,,604736,604735,604736
650,NC_000964.3,606414,606611,-,BSU_none_69,S198,ncRNA,,606414,606611,606414,606611,1,606414,606611,Y,,604736,604735,604736
651,NC_000964.3,606699,608075,-,BSU05620,ydgF,gene,,606699,608075,606699,608075,1,606699,608075,Y,,604736,604735,604736
652,NC_000964.3,608246,608764,-,BSU05630,dinB,gene,,608246,608764,608246,608764,1,608246,608764,Y,,608246,608245,608246
655,NC_000964.3,612191,612820,-,BSU05660,ydgI,gene,,612191,612820,612191,612820,1,612191,612820,Y,,612191,612190,612191
656,NC_000964.3,612836,613330,-,BSU05670,ydgJ,gene,,612836,613330,612836,613330,1,612836,613330,Y,,612191,612190,612191
658,NC_000964.3,614885,615622,-,BSU05690,ydhB,gene,,614885,615622,614885,615622,1,614885,615622,Y,,614885,614884,614885
662,NC_000964.3,619321,620031,-,BSU05730,ydhF,gene,,619321,620031,619321,620031,1,619321,620031,Y,,619321,619320,619321
663,NC_000964.3,620097,621485,-,BSU05740,phoB,gene,,620097,621485,620097,621485,1,620097,621485,Y,,619321,619320,619321
665,NC_000964.3,622293,622790,-,BSU05760,ydhH,gene,,622293,622790,622293,622790,1,622293,622790,Y,,622293,622292,622293
666,NC_000964.3,622808,623290,-,BSU05770,ydhI,gene,,622808,623290,622808,623290,1,622808,623290,Y,,622293,622292,622293
669,NC_000964.3,625125,626291,-,BSU05800,pbuE,gene,,625125,626291,625125,626291,1,625125,626291,Y,,625125,625124,625125
690,NC_000964.3,644528,646456,-,BSU05950,ydiF,gene,,644528,646456,644528,646456,1,644528,646456,Y,,644528,644527,626325
695,NC_000964.3,648742,648933,-,BSU06000,ydiK,gene,,648742,648933,648742,648933,1,648742,648933,Y,,648742,648741,648742
696,NC_000964.3,648930,649664,-,BSU06010,ydiL,gene,,648930,649664,648930,649664,1,648930,649664,Y,,648742,648741,648742
709,NC_000964.3,664775,667264,-,BSU06140,gutR,gene,,664775,667264,664775,667264,1,664775,667264,Y,,664775,664774,664775
717,NC_000964.3,674832,675857,-,BSU06220,ydjJ,gene,,674832,675857,674832,675857,1,674832,675857,Y,,674832,674831,674832
719,NC_000964.3,677911,678951,-,BSU06240,bdhA,gene,,677911,678951,677911,678951,1,677911,678951,Y,,677911,677910,677911
722,NC_000964.3,680907,681065,-,BSU06269,ydzJ,gene,,680907,681065,680907,681065,1,680907,681065,Y,,680907,680906,680907
723,NC_000964.3,681255,681464,-,BSU06270,ydjO,gene,,681255,681464,681255,681464,1,681255,681464,Y,,681255,681254,681108
724,NC_000964.3,681547,682362,-,BSU06280,ydjP,gene,,681547,682362,681547,682362,1,681547,682362,Y,,681255,681254,681108
725,NC_000964.3,682375,683364,-,BSU06290,yeaA,gene,,682375,683364,682375,683364,1,682375,683364,Y,,681255,681254,681108
726,NC_000964.3,683462,685003,-,BSU06300,cotA,gene,,683462,685003,683462,685003,1,683462,685003,Y,,681255,681254,681108
727,NC_000964.3,685155,686564,-,BSU06310,gabP,gene,,685155,686564,685155,686564,1,685155,686564,Y,,685155,685154,685155
728,NC_000964.3,686602,686889,-,BSU06319,ydzX,gene,,686602,686889,686602,686889,1,686602,686889,Y,,685155,685154,685155
751,NC_000964.3,711456,711875,-,BSU06540,yezC,gene,,711456,711875,711456,711875,1,711456,711875,Y,,711456,711455,691813
753,NC_000964.3,713308,713535,-,BSU06559,yezF,gene,,713308,713535,713308,713535,1,713308,713535,Y,,713308,713307,713308
757,NC_000964.3,716780,718357,-,BSU06590,yerD,gene,,716780,718357,716780,718357,1,716780,718357,Y,,716780,716779,716780
764,NC_000964.3,726035,726733,-,BSU06650,sapB,gene,,726035,726733,726035,726733,1,726035,726733,Y,,726035,726034,726035
765,NC_000964.3,726840,728318,-,BSU06660,opuE,gene,,726840,728318,726840,728318,1,726840,728318,Y,,726840,726839,726802
770,NC_000964.3,731954,732823,-,BSU06700,yerO,gene,,731954,732823,731954,732823,1,731954,732823,Y,,731954,731953,731954
774,NC_000964.3,738995,739897,-,BSU06740,yefB,gene,,738995,739897,738995,739897,1,738995,739897,Y,,738995,738994,738995
779,NC_000964.3,746261,746566,-,BSU06790,yeeD,gene,,746261,746566,746261,746566,1,746261,746566,Y,,746261,746260,746261
780,NC_000964.3,746633,746839,-,BSU06800,yezA,gene,,746633,746839,746633,746839,1,746633,746839,Y,,746261,746260,746261
781,NC_000964.3,747079,747534,-,BSU06811,yezG,gene,,747079,747534,747079,747534,1,747079,747534,Y,,747079,747078,747079
782,NC_000964.3,747554,749563,-,BSU06812,yeeF,gene,,747554,749563,747554,749563,1,747554,749563,Y,,747079,747078,747079
817,NC_000964.3,785113,785490,-,BSU07150,yetG,gene,,785113,785490,785113,785490,1,785113,785490,Y,,785113,785112,785082
818,NC_000964.3,785543,785905,-,BSU07160,yetH,gene,,785543,785905,785543,785905,1,785543,785905,Y,,785113,785112,785082
819,NC_000964.3,785997,786491,-,BSU_none_2,S249,gene,,785997,786491,785997,786491,1,785997,786491,Y,,785113,785112,785082
823,NC_000964.3,789652,790155,-,BSU07220,yetL,gene,,789652,790155,789652,790155,1,789652,790155,Y,,789652,789651,789652
825,NC_000964.3,791462,792532,-,BSU07240,yetN,gene,,791462,792532,791462,792532,1,791462,792532,Y,,791462,791461,791462
833,NC_000964.3,803317,804546,-,BSU07320,yfnC,gene,,803317,804546,803317,804546,1,803317,804546,Y,,803317,803316,803317
834,NC_000964.3,804657,805364,-,BSU07330,yfnB,gene,,804657,805364,804657,805364,1,804657,805364,Y,,804657,804656,804657
835,NC_000964.3,805456,806841,-,BSU07340,yfnA,gene,,805456,806841,805456,806841,1,805456,806841,Y,,804657,804656,804657
843,NC_000964.3,814384,815940,-,BSU07420,yfmM,gene,,814384,815940,814384,815940,1,814384,815940,Y,,814384,814383,814384
846,NC_000964.3,817810,818829,-,BSU07450,yfmJ,gene,,817810,818829,817810,818829,1,817810,818829,Y,,817810,817809,817810
848,NC_000964.3,819311,820531,-,BSU07460,yfmI,gene,,819311,820531,819311,820531,1,819311,820531,Y,,819311,819310,819311
851,NC_000964.3,822903,823703,-,BSU07490,yfmF,gene,,822903,823703,822903,823703,1,822903,823703,Y,,822903,822902,822903
852,NC_000964.3,823716,824717,-,BSU07500,yfmE,gene,,823716,824717,823716,824717,1,823716,824717,Y,,822903,822902,822903
853,NC_000964.3,824714,825715,-,BSU07510,yfmD,gene,,824714,825715,824714,825715,1,824714,825715,Y,,822903,822902,822903
854,NC_000964.3,825787,826734,-,BSU07520,yfmC,gene,,825787,826734,825787,826734,1,825787,826734,Y,,822903,822902,822903
855,NC_000964.3,826843,827211,-,BSU07530,yfmB,gene,,826843,827211,826843,827211,1,826843,827211,Y,,826843,826842,826843
866,NC_000964.3,837735,838010,-,BSU07640,yflL,gene,,837735,838010,837735,838010,1,837735,838010,Y,,837735,837734,837735
868,NC_000964.3,838783,838920,-,BSU07660,yflJ,gene,,838783,838920,838783,838920,1,838783,838920,Y,,838783,838782,838783
870,NC_000964.3,839077,839232,-,BSU07670,yflI,gene,,839077,839232,839077,839232,1,839077,839232,Y,,839077,839076,839077
